"bu_code","bu_naam","jaar","lbm","afw","fys","onv","soc","vrz","won"
"BU04320309","Van Van der Noot tot Slickerstraat",2014,3.95537146618667,-0.146893384957018,0.031337074013196,0.0185030132639525,0.0233273545989218,-0.181449990990371,-0.0386108358427178
"BU04320309","Van Van der Noot tot Slickerstraat",2016,3.98529970983386,-0.116965141309821,NA,NA,NA,NA,NA
"BU04320309","Van Van der Noot tot Slickerstraat",2018,4.0294596113407,-0.0728052398029821,0.0205945088631524,0.060042109800619,0.0188178740451183,-0.184668210564805,0.0124084780529328
"BU04320309","Van Van der Noot tot Slickerstraat",2020,4.01096558224089,-0.0912992689027997,0.0257099906122547,0.0586131052605779,0.0229261349574079,-0.173278586698051,-0.0252699130349895
"BU04320309","Van Van der Noot tot Slickerstraat",2022,4.0400974703514,-0.0621673807922853,0.019754786808115,0.0570563650494781,0.0225800748888456,-0.177982460295265,0.0164238527565413
"BU04320309","Van Van der Noot tot Slickerstraat",2024,4.06897605685254,-0.0332887942911459,0.023738580347436,0.0819412183514334,0.0241062294682002,-0.176287439706959,0.0132126172487436
"BU04320310","Tussen Fuik en Hanebalk",2002,3.97555469916262,-0.126710151981062,NA,NA,NA,NA,NA
"BU04320310","Tussen Fuik en Hanebalk",2008,3.94296344779452,-0.159301403349161,NA,NA,NA,NA,NA
"BU04320310","Tussen Fuik en Hanebalk",2012,3.91336078450359,-0.1889040666401,NA,NA,NA,NA,NA
"BU04320310","Tussen Fuik en Hanebalk",2014,4.00581099319784,-0.096453857945842,0.0456663275793275,0.0487355266792934,0.0196648576932782,-0.182274881859621,-0.0282456880381207
"BU04320310","Tussen Fuik en Hanebalk",2016,3.97571326736541,-0.12655158377827,NA,NA,NA,NA,NA
"BU04320310","Tussen Fuik en Hanebalk",2018,3.99841500034675,-0.10384985079693,0.0312855317913247,0.0238777610880587,0.0101570674572978,-0.185111582532905,0.015941371399293
"BU04320310","Tussen Fuik en Hanebalk",2020,3.98297974366389,-0.119285107479796,0.034310063612795,0.036642891241418,0.0151518784710169,-0.173567409190573,-0.0318225316144536
"BU04320310","Tussen Fuik en Hanebalk",2022,4.0381992948627,-0.0640655562809813,0.0320179937586079,0.0458240294702584,0.0165912022665385,-0.178916502285817,0.0204177205094304
"BU04320310","Tussen Fuik en Hanebalk",2024,4.04870202382245,-0.0535628273212356,0.0328890836326845,0.0547186409460051,0.0174839801836251,-0.17721114859012,0.0185566165065695
"BU04320312","Hoogwoud Lint",2002,3.98922029132265,-0.113044559821036,NA,NA,NA,NA,NA
"BU04320312","Hoogwoud Lint",2008,4.04394121925483,-0.0583236318888521,NA,NA,NA,NA,NA
"BU04320312","Hoogwoud Lint",2012,4.03008250511978,-0.0721823460239091,NA,NA,NA,NA,NA
