"wk_code","wk_naam","jaar","lbm","afw","fys","onv","soc","vrz","won"
"WK057502","Noordwijk Buitengebied",2018,4.30120102356746,0.198936172423776,0.05539988786486,0.10382423574479,0.101822510660956,-0.126902726097525,0.064792264250694
"WK057502","Noordwijk Buitengebied",2020,4.29249009967166,0.190225248527976,0.0816417666414693,0.102975451116104,0.0804571636559221,-0.11502732994108,0.0401781970555589
"WK057502","Noordwijk Buitengebied",2022,4.27204350623449,0.169778655090808,0.0825553163611797,0.0885576526133609,0.0690137943168929,-0.112236606873657,0.0418884986730308
"WK057502","Noordwijk Buitengebied",2024,4.26955624073554,0.167291389591856,0.0839265138792955,0.094999755139892,0.0709606820870729,-0.108465803757018,0.0258702422426134
"WK057503","Noordwijkerhout",2002,4.00967810413566,-0.0925867470080287,NA,NA,NA,NA,NA
"WK057503","Noordwijkerhout",2008,4.01223293836367,-0.0900319127800158,NA,NA,NA,NA,NA
"WK057503","Noordwijkerhout",2012,4.03794702018998,-0.0643178309537052,NA,NA,NA,NA,NA
"WK057503","Noordwijkerhout",2014,4.09570737461669,-0.00655747652699792,0.0116636827043746,0.0421119272954592,0.00339446055494633,-0.0631640035969195,-0.000563543484858769
"WK057503","Noordwijkerhout",2016,4.12297572473928,0.0207108735955954,NA,NA,NA,NA,NA
"WK057503","Noordwijkerhout",2018,4.09613372512289,-0.00613112602079379,-0.00730891030131673,0.0514386599951134,0.00182468510296292,-0.0572837509979833,0.00519819018042957
"WK057503","Noordwijkerhout",2020,4.10184346100789,-0.000421390135792984,0.00319793803163428,0.0441210476802886,-0.00173571610602122,-0.0465282533230345,0.000523593581339483
"WK057503","Noordwijkerhout",2022,4.14389776591901,0.0416329147753211,0.0144257725188399,0.0580609860661106,0.00867843983463744,-0.0480551602040714,0.00852287655980435
"WK057503","Noordwijkerhout",2024,4.13087402257829,0.0286091714346031,0.0157276653003415,0.0530507392582871,0.00326497058218677,-0.0469630878440094,0.00352888413779695
"WK057504","Noordwijkerhout Buitengebied",2002,4.18044224145586,0.0781773903121722,NA,NA,NA,NA,NA
